Subject,Start Date,Start Time,End Date,End Time,Description,Location
Project 1,09/08/2025,07:00,09/08/2025,09:30,Room: 302-A5,302-A5
Project 1,09/15/2025,07:00,09/15/2025,09:30,Room: 302-A5,302-A5
Project 1,08/11/2025,07:00,08/11/2025,09:30,Room: 302-A5,302-A5
Project 1,08/18/2025,07:00,08/18/2025,09:30,Room: 302-A5,302-A5
Project 1,08/25/2025,07:00,08/25/2025,09:30,Room: 302-A5,302-A5
Project 1,09/22/2025,07:00,09/22/2025,09:30,Room: 302-A5,302-A5
Khai phá dữ liệu,08/15/2025,07:00,08/15/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,08/22/2025,07:00,08/22/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,08/29/2025,07:00,08/29/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,09/05/2025,07:00,09/05/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,09/12/2025,07:00,09/12/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,09/19/2025,07:00,09/19/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,09/26/2025,07:00,09/26/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,10/03/2025,07:00,10/03/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,10/10/2025,07:00,10/10/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,10/17/2025,07:00,10/17/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,10/24/2025,07:00,10/24/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,10/28/2025,15:30,10/28/2025,18:00,Room: 405-A8,405-A8
Khai phá dữ liệu,11/04/2025,15:30,11/04/2025,18:00,Room: 405-A8,405-A8
Khai phá dữ liệu,11/11/2025,15:30,11/11/2025,18:00,Room: 405-A8,405-A8
Khai phá dữ liệu,10/31/2025,07:00,10/31/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,11/07/2025,07:00,11/07/2025,09:30,Room: 401-A7,401-A7
Khai phá dữ liệu,11/14/2025,07:00,11/14/2025,09:30,Room: 401-A7,401-A7
An ninh mạng,08/14/2025,15:30,08/14/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,08/21/2025,15:30,08/21/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,08/28/2025,15:30,08/28/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,09/04/2025,15:30,09/04/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,09/11/2025,15:30,09/11/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,09/18/2025,15:30,09/18/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,09/25/2025,15:30,09/25/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,10/02/2025,15:30,10/02/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,10/09/2025,15:30,10/09/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,10/16/2025,15:30,10/16/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,10/23/2025,15:30,10/23/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,10/07/2025,07:00,10/07/2025,09:30,Room: 301-A5,301-A5
An ninh mạng,10/14/2025,07:00,10/14/2025,09:30,Room: 301-A5,301-A5
An ninh mạng,10/21/2025,07:00,10/21/2025,09:30,Room: 301-A5,301-A5
An ninh mạng,10/30/2025,15:30,10/30/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,11/06/2025,15:30,11/06/2025,18:00,Room: 401-A7,401-A7
An ninh mạng,11/13/2025,15:30,11/13/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,08/15/2025,15:30,08/15/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,08/22/2025,15:30,08/22/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,08/29/2025,15:30,08/29/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,09/05/2025,15:30,09/05/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,09/12/2025,15:30,09/12/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,09/19/2025,15:30,09/19/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,09/26/2025,15:30,09/26/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,10/03/2025,15:30,10/03/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,10/10/2025,15:30,10/10/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,10/17/2025,15:30,10/17/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,10/24/2025,15:30,10/24/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,10/28/2025,07:00,10/28/2025,09:30,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,11/04/2025,07:00,11/04/2025,09:30,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,11/11/2025,07:00,11/11/2025,09:30,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,10/31/2025,15:30,10/31/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,11/07/2025,15:30,11/07/2025,18:00,Room: 401-A7,401-A7
Phát triển phần mềm mã nguồn mở,11/14/2025,15:30,11/14/2025,18:00,Room: 401-A7,401-A7
Lập trình mạng,09/04/2025,13:00,09/04/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,09/11/2025,13:00,09/11/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,09/18/2025,13:00,09/18/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,09/25/2025,13:00,09/25/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,10/02/2025,13:00,10/02/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,08/12/2025,09:30,08/12/2025,12:00,Room: 105-A5,105-A5
Lập trình mạng,08/19/2025,09:30,08/19/2025,12:00,Room: 105-A5,105-A5
Lập trình mạng,08/26/2025,09:30,08/26/2025,12:00,Room: 105-A5,105-A5
Lập trình mạng,08/14/2025,13:00,08/14/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,08/21/2025,13:00,08/21/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,08/28/2025,13:00,08/28/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,10/09/2025,13:00,10/09/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,10/16/2025,13:00,10/16/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,10/23/2025,13:00,10/23/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,10/30/2025,13:00,10/30/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,11/06/2025,13:00,11/06/2025,15:30,Room: 202-A5,202-A5
Lập trình mạng,11/13/2025,13:00,11/13/2025,15:30,Room: 202-A5,202-A5
